EFG,EFG_Code,EFG_Name,EFG_PixelValue,HexCode,RGB
No Data,,No Data,0,#FFFFFF,"255,255,255"
T1.1 Tropical/Subtropical lowland rainforests,,Tropical/Subtropical lowland rainforests,1,#32A06B,"50,160,107"
T1.2 Tropical/Subtropical dry forests and thickets,,Tropical/Subtropical dry forests and thickets,2,#52BC85,"82,188,133"
T1.3 Tropical/Subtropical montane rainforests,,Tropical/Subtropical montane rainforests,3,#6FD9A1,"111,217,161"
T1.4 Tropical heath forests,,Tropical heath forests,4,#8DF7BD,"141,247,189"
T2.1 Boreal and temperate high montane forests and woodlands,,Boreal and temperate high montane forests and woodlands,7,#006051,"0,96,81"
T2.2 Deciduous temperate forests,,Deciduous temperate forests,8,#329483,"50,148,131"
T2.3 Oceanic cool temperate rainforests,,Oceanic cool temperate rainforests,9,#54B2A0,"84,178,160"
T2.4 Warm temperate laurophyll forests,,Warm temperate laurophyll forests,10,#73D1BE,"115,209,190"
T2.5 Temperate pyric humid forests,,Temperate pyric humid forests,11,#92F0DD,"146,240,221"
T2.6 Temperate pyric sclerophyll forests and woodlands,,Temperate pyric sclerophyll forests and woodlands,12,#BBF0E5,"187,240,229"
T3.1 Seasonally dry tropical shrublands,,Seasonally dry tropical shrublands,16,#34878E,"52,135,142"
T3.2 Seasonally dry temperate heath and shrublands,,Seasonally dry temperate heath and shrublands,17,#57A7AE,"87,167,174"
T3.3 Cool temperate heathlands,,Cool temperate heathlands,18,#78C8CF,"120,200,207"
"T3.4 Young rocky pavements, lava flows and screes",,"Young rocky pavements, lava flows and screes",19,#9AEAF1,"154,234,241"
T4.1 Trophic savannas,,Trophic savannas,22,#FFD21C,"255,210,28"
T4.2 Pyric tussock savannas,,Pyric tussock savannas,23,#FFA134,"255,161,52"
T4.3 Hummock savannas,,Hummock savannas,24,#FF9110,"255,145,16"
T4.4 Temperate woodlands,,Temperate woodlands,25,#FF6B00,"255,107,0"
T4.5 Temperate subhumid grasslands,,Temperate subhumid grasslands,26,#D36E00,"211,110,0"
T5.1 Semi-desert steppe,,Semi-desert steppe,30,#FFD279,"255,210,121"
T5.2 Succulent or Thorny deserts and semi-deserts,,Succulent or Thorny deserts and semi-deserts,31,#EEC471,"238,196,113"
T5.3 Sclerophyll hot deserts and semi-deserts,,Sclerophyll hot deserts and semi-deserts,32,#B38E3E,"179,142,62"
T5.4 Cool deserts and semi-deserts,,Cool deserts and semi-deserts,33,#886716,"136,103,22"
T5.5 Hyper-arid deserts,,Hyper-arid deserts,34,#5E4300,"94,67,0"
"T6.1 Ice sheets, glaciers and perennial snowfields",,"Ice sheets, glaciers and perennial snowfields",38,#DBDBDB,"219,219,219"
"T6.2 Polar/alpine cliffs, screes, outcrops and lava flows",,"Polar/alpine cliffs, screes, outcrops and lava flows",39,#C7C7C7,"199,199,199"
T6.3 Polar tundra and deserts,,Polar tundra and deserts,40,#B8B8B8,"184,184,184"
T6.4 Temperate alpine grasslands and shrublands,,Temperate alpine grasslands and shrublands,41,#A8A8A8,"168,168,168"
T6.5 Tropical alpine grasslands and herbfields,,Tropical alpine grasslands and herbfields,42,#949494,"148,148,148"
T7.1 Annual croplands,,Annual croplands,46,#FF14A1,"255,20,161"
T7.2 Sown pastures and fields,,Sown pastures and fields,47,#CA0079,"202,0,121"
T7.3 Plantations,,Plantations,48,#AA005F,"170,0,95"
T7.4 Urban and industrial ecosystems,,Urban and industrial ecosystems,49,#8B0047,"139,0,71"
T7.5 Derived semi-natural pastures and old fields,,Derived semi-natural pastures and old fields,50,#6C0030,"108,0,48"
S1.1 Aerobic caves,,Aerobic caves,54,#C0AC14,"192,172,20"
S1.2 Endolithic systems,,Endolithic systems,55,#F2D918,"242,217,24"
S2.1 Anthropogenic subterranean voids,,Anthropogenic subterranean voids,57,#9DBF3D,"157,191,61"
SF1.1 Underground streams and pools,,Underground streams and pools,59,#D49686,"212,150,134"
SF1.2 Groundwater ecosystems,,Groundwater ecosystems,60,#FFB5A1,"255,181,161"
SF2.1 Water pipes and subterranean canals,,Water pipes and subterranean canals,62,#FB9DC4,"251,157,196"
SF2.2 Flooded mines and other voids,,Flooded mines and other voids,63,#C67E8C,"198,126,140"
SM1.1 Anchialine caves,,Anchialine caves,65,#569B49,"86,155,73"
SM1.2 Anchialine pools,,Anchialine pools,66,#008767,"0,135,103"
SM1.3 Sea caves,,Sea caves,67,#006E79,"0,110,121"
TF1.1 Tropical flooded forests and peat forests,,Tropical flooded forests and peat forests,70,#73B898,"115,184,152"
TF1.2 Subtropical/temperate forested wetlands,,Subtropical/temperate forested wetlands,71,#8EE3BB,"142,227,187"
TF1.3 Permanent marshes,,Permanent marshes,72,#9FFFD3,"159,255,211"
TF1.4 Seasonal floodplain marshes,,Seasonal floodplain marshes,73,#93D699,"147,214,153"
TF1.5 Episodic arid floodplains,,Episodic arid floodplains,74,#AFD6B3,"175,214,179"
"TF1.6 Boreal, temperate and montane peat bogs",,"Boreal, temperate and montane peat bogs",75,#C1F195,"193,241,149"
TF1.7 Boreal and temperate fens,,Boreal and temperate fens,76,#DFF1CF,"223,241,207"
F1.1 Permanent upland streams,,Permanent upland streams,81,#C4FFBE,"196,255,190"
F1.2 Permanent lowland rivers,,Permanent lowland rivers,82,#ABF5A3,"171,245,163"
F1.3 Freeze-thaw rivers and streams,,Freeze-thaw rivers and streams,83,#7EE5AA,"126,229,170"
F1.4 Seasonal upland streams,,Seasonal upland streams,84,#51D4B1,"81,212,177"
F1.5 Seasonal lowland rivers,,Seasonal lowland rivers,85,#47BA9B,"71,186,155"
F1.6 Episodic arid rivers,,Episodic arid rivers,86,#3A9C82,"58,156,130"
F1.7 Large lowland rivers,,Large lowland rivers,87,#2D7763,"45,119,99"
F2.1 Large permanent freshwater lakes,,Large permanent freshwater lakes,92,#D6FBFF,"214,251,255"
F2.2 Small permanent freshwater lakes,,Small permanent freshwater lakes,93,#B8F8FF,"184,248,255"
F2.3 Seasonal freshwater lakes,,Seasonal freshwater lakes,94,#85F3FF,"133,243,255"
F2.4 Freeze-thaw freshwater lakes,,Freeze-thaw freshwater lakes,95,#42ECFF,"66,236,255"
F2.5 Ephemeral freshwater lakes,,Ephemeral freshwater lakes,96,#1CD8ED,"28,216,237"
F2.6 Permanent salt and soda lakes,,Permanent salt and soda lakes,97,#19BED1,"25,190,209"
F2.7 Ephemeral salt lakes,,Ephemeral salt lakes,98,#009DB1,"0,157,177"
F2.8 Artesian springs and oases,,Artesian springs and oases,99,#007A8A,"0,122,138"
F2.9 Geothermal pools and wetlands,,Geothermal pools and wetlands,100,#005C6B,"0,92,107"
F2.10 Subglacial lakes,,Subglacial lakes,101,#004252,"0,66,82"
F3.1 Large reservoirs,,Large reservoirs,107,#C4FFBE,"196,255,190"
F3.2 Constructed lacustrine wetlands,,Constructed lacustrine wetlands,108,#ABF5A3,"171,245,163"
F3.3 Rice paddies,,Rice paddies,109,#90DAA0,"144,218,160"
F3.4 Freshwater aquafarms,,Freshwater aquafarms,110,#51D4B1,"81,212,177"
"F3.5 Canals, ditches and drains",,"Canals, ditches and drains",111,#47BA9B,"71,186,155"
FM1.1 Deepwater coastal inlets,,Deepwater coastal inlets,115,#D43A99,"212,58,153"
FM1.2 Permanently open riverine estuaries and bays,,Permanently open riverine estuaries and bays,116,#F960BA,"249,96,186"
FM1.3 Intermittently closed and open lakes and lagoons,,Intermittently closed and open lakes and lagoons,117,#FF83DC,"255,131,220"
M1.1 Seagrass meadows,,Seagrass meadows,120,#F1EBFF,"241,235,255"
M1.2 Kelp forests,,Kelp forests,121,#E9E0FF,"233,224,255"
M1.3 Photic coral reefs,,Photic coral reefs,122,#E0D3FF,"224,211,255"
M1.4 Shellfish beds and reefs,,Shellfish beds and reefs,123,#C0B5FF,"192,181,255"
M1.5 Photo-limited marine animal forests,,Photo-limited marine animal forests,124,#A197FE,"161,151,254"
M1.6 Subtidal rocky reefs,,Subtidal rocky reefs,125,#897CFE,"137,124,254"
M1.7 Subtidal sand beds,,Subtidal sand beds,126,#6F66EE,"111,102,238"
M1.8 Subtidal mud plains,,Subtidal mud plains,127,#5E56D1,"94,86,209"
M1.9 Upwelling zones,,Upwelling zones,128,#5653A6,"86,83,166"
M1.10 Rhodolith/Maërl beds,,Rhodolith/Maërl beds,129,#3C3973,"60,57,115"
M2.1 Epipelagic ocean waters,,Epipelagic ocean waters,135,#CEA8FE,"206,168,254"
M2.2 Mesopelagic ocean water,,Mesopelagic ocean water,136,#B781FA,"183,129,250"
M2.3 Bathypelagic ocean waters,,Bathypelagic ocean waters,137,#A474E0,"164,116,224"
M2.4 Abyssopelagic ocean waters,,Abyssopelagic ocean waters,138,#9569CC,"149,105,204"
M2.5 Sea ice,,Sea ice,139,#704F99,"112,79,153"
M3.1 Continental and island slopes,,Continental and island slopes,143,#1B7693,"27,118,147"
M3.2 Submarine canyons,,Submarine canyons,144,#2192B5,"33,146,181"
M3.3 Abyssal plains,,Abyssal plains,145,#27AED8,"39,174,216"
"M3.4 Seamounts, ridges and plateaus",,"Seamounts, ridges and plateaus",146,#52BEE0,"82,190,224"
M3.5 Deepwater biogenic beds,,Deepwater biogenic beds,147,#9CDAED,"156,218,237"
M3.6 Hadal trenches and troughs,,Hadal trenches and troughs,148,#A8EAFF,"168,234,255"
M3.7 Chemosynthetic-based-ecosystems (CBE),,Chemosynthetic-based-ecosystems (CBE),149,#DBF7FF,"219,247,255"
M4.1 Submerged artificial structures,,Submerged artificial structures,154,#994A8E,"153,74,142"
M4.2 Marine aquafarms,,Marine aquafarms,155,#7B2E72,"123,46,114"
MT1.1 Rocky shorelines,,Rocky shorelines,157,#8782D2,"135,130,210"
MT1.2 Muddy shorelines,,Muddy shorelines,158,#A49EF0,"164,158,240"
MT1.3 Sandy shorelines,,Sandy shorelines,159,#C2BAFF,"194,186,255"
MT1.4 Boulder and cobble shores,,Boulder and cobble shores,160,#E0D7FF,"224,215,255"
MT2.1 Coastal shrublands and grasslands,,Coastal shrublands and grasslands,163,#726BDA,"114,107,218"
MT2.2 Large seabird and pinniped colonies,,Large seabird and pinniped colonies,164,#5651A6,"86,81,166"
MT3.1 Artificial shorelines,,Artificial shorelines,166,#CEC9FF,"206,201,255"
MFT1.1 Coastal river deltas,,Coastal river deltas,168,#AC676D,"172,103,109"
MFT1.2 Intertidal forests and shrublands,,Intertidal forests and shrublands,169,#89474E,"137,71,78"
MFT1.3 Coastal saltmarshes and reedbeds,,Coastal saltmarshes and reedbeds,170,#672931,"103,41,49"
NA No Data,,No Data,255,#FFFFFF,"255,255,255"
