efg,efg_code,efg_name,efg_pixel_value,biome,biome_code,biome_name,biome_pixel_value,realm,realm_code,realm_name,realm_pixel_value
No Data,NA,No Data,0,No Data,NA,No Data,0,No Data,NA,No Data,0
T1.1 Tropical/Subtropical lowland rainforests,T1.1,Tropical/Subtropical lowland rainforests,1,T1 Tropical-subtropical forests,T1,Tropical-subtropical forests,1,T Terrestrial,T,Terrestrial,1
T1.2 Tropical/Subtropical dry forests and thickets,T1.2,Tropical/Subtropical dry forests and thickets,2,T1 Tropical-subtropical forests,T1,Tropical-subtropical forests,1,T Terrestrial,T,Terrestrial,1
T1.3 Tropical/Subtropical montane rainforests,T1.3,Tropical/Subtropical montane rainforests,3,T1 Tropical-subtropical forests,T1,Tropical-subtropical forests,1,T Terrestrial,T,Terrestrial,1
T1.4 Tropical heath forests,T1.4,Tropical heath forests,4,T1 Tropical-subtropical forests,T1,Tropical-subtropical forests,1,T Terrestrial,T,Terrestrial,1
T2.1 Boreal and temperate high montane forests and woodlands,T2.1,Boreal and temperate high montane forests and woodlands,7,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T2.2 Deciduous temperate forests,T2.2,Deciduous temperate forests,8,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T2.3 Oceanic cool temperate rainforests,T2.3,Oceanic cool temperate rainforests,9,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T2.4 Warm temperate laurophyll forests,T2.4,Warm temperate laurophyll forests,10,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T2.5 Temperate pyric humid forests,T2.5,Temperate pyric humid forests,11,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T2.6 Temperate pyric sclerophyll forests and woodlands,T2.6,Temperate pyric sclerophyll forests and woodlands,12,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T3.1 Seasonally dry tropical shrublands,T3.1,Seasonally dry tropical shrublands,16,T3 Shrublands and shrubby woodlands,T3,Shrublands and shrubby woodlands,3,T Terrestrial,T,Terrestrial,1
T3.2 Seasonally dry temperate heath and shrublands,T3.2,Seasonally dry temperate heath and shrublands,17,T3 Shrublands and shrubby woodlands,T3,Shrublands and shrubby woodlands,3,T Terrestrial,T,Terrestrial,1
T3.3 Cool temperate heathlands,T3.3,Cool temperate heathlands,18,T3 Shrublands and shrubby woodlands,T3,Shrublands and shrubby woodlands,3,T Terrestrial,T,Terrestrial,1
"T3.4 Young rocky pavements, lava flows and screes",T3.4,"Young rocky pavements, lava flows and screes",19,T3 Shrublands and shrubby woodlands,T3,Shrublands and shrubby woodlands,3,T Terrestrial,T,Terrestrial,1
T4.1 Trophic savannas,T4.1,Trophic savannas,22,T4 Savannas and grasslands,T4,Savannas and grasslands,4,T Terrestrial,T,Terrestrial,1
T4.2 Pyric tussock savannas,T4.2,Pyric tussock savannas,23,T4 Savannas and grasslands,T4,Savannas and grasslands,4,T Terrestrial,T,Terrestrial,1
T4.3 Hummock savannas,T4.3,Hummock savannas,24,T4 Savannas and grasslands,T4,Savannas and grasslands,4,T Terrestrial,T,Terrestrial,1
T4.4 Temperate woodlands,T4.4,Temperate woodlands,25,T4 Savannas and grasslands,T4,Savannas and grasslands,4,T Terrestrial,T,Terrestrial,1
T4.5 Temperate subhumid grasslands,T4.5,Temperate subhumid grasslands,26,T4 Savannas and grasslands,T4,Savannas and grasslands,4,T Terrestrial,T,Terrestrial,1
T5.1 Semi-desert steppe,T5.1,Semi-desert steppe,30,T5 Deserts and semi-deserts,T5,Deserts and semi-deserts,5,T Terrestrial,T,Terrestrial,1
T5.2 Succulent or Thorny deserts and semi-deserts,T5.2,Succulent or Thorny deserts and semi-deserts,31,T5 Deserts and semi-deserts,T5,Deserts and semi-deserts,5,T Terrestrial,T,Terrestrial,1
T5.3 Sclerophyll hot deserts and semi-deserts,T5.3,Sclerophyll hot deserts and semi-deserts,32,T5 Deserts and semi-deserts,T5,Deserts and semi-deserts,5,T Terrestrial,T,Terrestrial,1
T5.4 Cool deserts and semi-deserts,T5.4,Cool deserts and semi-deserts,33,T5 Deserts and semi-deserts,T5,Deserts and semi-deserts,5,T Terrestrial,T,Terrestrial,1
T5.5 Hyper-arid deserts,T5.5,Hyper-arid deserts,34,T5 Deserts and semi-deserts,T5,Deserts and semi-deserts,5,T Terrestrial,T,Terrestrial,1
"T6.1 Ice sheets, glaciers and perennial snowfields",T6.1,"Ice sheets, glaciers and perennial snowfields",38,T6 Polar/alpine (cryogenic),T6,Polar/alpine (cryogenic),6,T Terrestrial,T,Terrestrial,1
"T6.2 Polar/alpine cliffs, screes, outcrops and lava flows",T6.2,"Polar/alpine cliffs, screes, outcrops and lava flows",39,T6 Polar/alpine (cryogenic),T6,Polar/alpine (cryogenic),6,T Terrestrial,T,Terrestrial,1
T6.3 Polar tundra and deserts,T6.3,Polar tundra and deserts,40,T6 Polar/alpine (cryogenic),T6,Polar/alpine (cryogenic),6,T Terrestrial,T,Terrestrial,1
T6.4 Temperate alpine grasslands and shrublands,T6.4,Temperate alpine grasslands and shrublands,41,T6 Polar/alpine (cryogenic),T6,Polar/alpine (cryogenic),6,T Terrestrial,T,Terrestrial,1
T6.5 Tropical alpine grasslands and herbfields,T6.5,Tropical alpine grasslands and herbfields,42,T6 Polar/alpine (cryogenic),T6,Polar/alpine (cryogenic),6,T Terrestrial,T,Terrestrial,1
T7.1 Annual croplands,T7.1,Annual croplands,46,T7 Intensive land-use,T7,Intensive land-use,7,T Terrestrial,T,Terrestrial,1
T7.2 Sown pastures and fields,T7.2,Sown pastures and fields,47,T7 Intensive land-use,T7,Intensive land-use,7,T Terrestrial,T,Terrestrial,1
T7.3 Plantations,T7.3,Plantations,48,T7 Intensive land-use,T7,Intensive land-use,7,T Terrestrial,T,Terrestrial,1
T7.4 Urban and industrial ecosystems,T7.4,Urban and industrial ecosystems,49,T7 Intensive land-use,T7,Intensive land-use,7,T Terrestrial,T,Terrestrial,1
T7.5 Derived semi-natural pastures and old fields,T7.5,Derived semi-natural pastures and old fields,50,T7 Intensive land-use,T7,Intensive land-use,7,T Terrestrial,T,Terrestrial,1
S1.1 Aerobic caves,S1.1,Aerobic caves,54,S1 Subterranean lithic,S1,Subterranean lithic,8,S Subterranean,S,Subterranean,2
S1.2 Endolithic systems,S1.2,Endolithic systems,55,S1 Subterranean lithic,S1,Subterranean lithic,8,S Subterranean,S,Subterranean,2
S2.1 Anthropogenic subterranean voids,S2.1,Anthropogenic subterranean voids,57,S2 Anthropogenic subterranean voids,S2,Anthropogenic subterranean voids,9,S Subterranean,S,Subterranean,2
SF1.1 Underground streams and pools,SF1.1,Underground streams and pools,59,SF1 Subterranean freshwaters,SF1,Subterranean freshwaters,10,SF Subterranean-Freshwater,SF,Subterranean-Freshwater,3
SF1.2 Groundwater ecosystems,SF1.2,Groundwater ecosystems,60,SF1 Subterranean freshwaters,SF1,Subterranean freshwaters,10,SF Subterranean-Freshwater,SF,Subterranean-Freshwater,3
SF2.1 Water pipes and subterranean canals,SF2.1,Water pipes and subterranean canals,62,SF2 Anthropogenic subterranean freshwaters,SF2,Anthropogenic subterranean freshwaters,11,SF Subterranean-Freshwater,SF,Subterranean-Freshwater,3
SF2.2 Flooded mines and other voids,SF2.2,Flooded mines and other voids,63,SF2 Anthropogenic subterranean freshwaters,SF2,Anthropogenic subterranean freshwaters,11,SF Subterranean-Freshwater,SF,Subterranean-Freshwater,3
SM1.1 Anchialine caves,SM1.1,Anchialine caves,65,SM1 Subterranean tidal,SM1,Subterranean tidal,12,SM Subterranean-Marine,SM,Subterranean-Marine,4
SM1.2 Anchialine pools,SM1.2,Anchialine pools,66,SM1 Subterranean tidal,SM1,Subterranean tidal,12,SM Subterranean-Marine,SM,Subterranean-Marine,4
SM1.3 Sea caves,SM1.3,Sea caves,67,SM1 Subterranean tidal,SM1,Subterranean tidal,12,SM Subterranean-Marine,SM,Subterranean-Marine,4
TF1.1 Tropical flooded forests and peat forests,TF1.1,Tropical flooded forests and peat forests,70,TF1 Palustrine wetlands,TF1,Palustrine wetlands,13,TF Terrestrial-Freshwater,TF,Terrestrial-Freshwater,5
TF1.2 Subtropical/temperate forested wetlands,TF1.2,Subtropical/temperate forested wetlands,71,TF1 Palustrine wetlands,TF1,Palustrine wetlands,13,TF Terrestrial-Freshwater,TF,Terrestrial-Freshwater,5
TF1.3 Permanent marshes,TF1.3,Permanent marshes,72,TF1 Palustrine wetlands,TF1,Palustrine wetlands,13,TF Terrestrial-Freshwater,TF,Terrestrial-Freshwater,5
TF1.4 Seasonal floodplain marshes,TF1.4,Seasonal floodplain marshes,73,TF1 Palustrine wetlands,TF1,Palustrine wetlands,13,TF Terrestrial-Freshwater,TF,Terrestrial-Freshwater,5
TF1.5 Episodic arid floodplains,TF1.5,Episodic arid floodplains,74,TF1 Palustrine wetlands,TF1,Palustrine wetlands,13,TF Terrestrial-Freshwater,TF,Terrestrial-Freshwater,5
"TF1.6 Boreal, temperate and montane peat bogs",TF1.6,"Boreal, temperate and montane peat bogs",75,TF1 Palustrine wetlands,TF1,Palustrine wetlands,13,TF Terrestrial-Freshwater,TF,Terrestrial-Freshwater,5
TF1.7 Boreal and temperate fens,TF1.7,Boreal and temperate fens,76,TF1 Palustrine wetlands,TF1,Palustrine wetlands,13,TF Terrestrial-Freshwater,TF,Terrestrial-Freshwater,5
F1.1 Permanent upland streams,F1.1,Permanent upland streams,81,F1 Rivers and streams,F1,Rivers and streams,14,F Freshwater,F,Freshwater,6
F1.2 Permanent lowland rivers,F1.2,Permanent lowland rivers,82,F1 Rivers and streams,F1,Rivers and streams,14,F Freshwater,F,Freshwater,6
F1.3 Freeze-thaw rivers and streams,F1.3,Freeze-thaw rivers and streams,83,F1 Rivers and streams,F1,Rivers and streams,14,F Freshwater,F,Freshwater,6
F1.4 Seasonal upland streams,F1.4,Seasonal upland streams,84,F1 Rivers and streams,F1,Rivers and streams,14,F Freshwater,F,Freshwater,6
F1.5 Seasonal lowland rivers,F1.5,Seasonal lowland rivers,85,F1 Rivers and streams,F1,Rivers and streams,14,F Freshwater,F,Freshwater,6
F1.6 Episodic arid rivers,F1.6,Episodic arid rivers,86,F1 Rivers and streams,F1,Rivers and streams,14,F Freshwater,F,Freshwater,6
F1.7 Large lowland rivers,F1.7,Large lowland rivers,87,F1 Rivers and streams,F1,Rivers and streams,14,F Freshwater,F,Freshwater,6
F2.1 Large permanent freshwater lakes,F2.1,Large permanent freshwater lakes,92,F2 Lakes,F2,Lakes,15,F Freshwater,F,Freshwater,6
F2.2 Small permanent freshwater lakes,F2.2,Small permanent freshwater lakes,93,F2 Lakes,F2,Lakes,15,F Freshwater,F,Freshwater,6
F2.3 Seasonal freshwater lakes,F2.3,Seasonal freshwater lakes,94,F2 Lakes,F2,Lakes,15,F Freshwater,F,Freshwater,6
F2.4 Freeze-thaw freshwater lakes,F2.4,Freeze-thaw freshwater lakes,95,F2 Lakes,F2,Lakes,15,F Freshwater,F,Freshwater,6
F2.5 Ephemeral freshwater lakes,F2.5,Ephemeral freshwater lakes,96,F2 Lakes,F2,Lakes,15,F Freshwater,F,Freshwater,6
F2.6 Permanent salt and soda lakes,F2.6,Permanent salt and soda lakes,97,F2 Lakes,F2,Lakes,15,F Freshwater,F,Freshwater,6
F2.7 Ephemeral salt lakes,F2.7,Ephemeral salt lakes,98,F2 Lakes,F2,Lakes,15,F Freshwater,F,Freshwater,6
F2.8 Artesian springs and oases,F2.8,Artesian springs and oases,99,F2 Lakes,F2,Lakes,15,F Freshwater,F,Freshwater,6
F2.9 Geothermal pools and wetlands,F2.9,Geothermal pools and wetlands,100,F2 Lakes,F2,Lakes,15,F Freshwater,F,Freshwater,6
F2.10 Subglacial lakes,F2.10,Subglacial lakes,101,F2 Lakes,F2,Lakes,15,F Freshwater,F,Freshwater,6
F3.1 Large reservoirs,F3.1,Large reservoirs,107,F3 Artificial wetlands,F3,Artificial wetlands,16,F Freshwater,F,Freshwater,6
F3.2 Constructed lacustrine wetlands,F3.2,Constructed lacustrine wetlands,108,F3 Artificial wetlands,F3,Artificial wetlands,16,F Freshwater,F,Freshwater,6
F3.3 Rice paddies,F3.3,Rice paddies,109,F3 Artificial wetlands,F3,Artificial wetlands,16,F Freshwater,F,Freshwater,6
F3.4 Freshwater aquafarms,F3.4,Freshwater aquafarms,110,F3 Artificial wetlands,F3,Artificial wetlands,16,F Freshwater,F,Freshwater,6
"F3.5 Canals, ditches and drains",F3.5,"Canals, ditches and drains",111,F3 Artificial wetlands,F3,Artificial wetlands,16,F Freshwater,F,Freshwater,6
FM1.1 Deepwater coastal inlets,FM1.1,Deepwater coastal inlets,115,FM1 Semi-confined transitional waters,FM1,Semi-confined transitional waters,17,FM Freshwater-Marine,FM,Freshwater-Marine,7
FM1.2 Permanently open riverine estuaries and bays,FM1.2,Permanently open riverine estuaries and bays,116,FM1 Semi-confined transitional waters,FM1,Semi-confined transitional waters,17,FM Freshwater-Marine,FM,Freshwater-Marine,7
FM1.3 Intermittently closed and open lakes and lagoons,FM1.3,Intermittently closed and open lakes and lagoons,117,FM1 Semi-confined transitional waters,FM1,Semi-confined transitional waters,17,FM Freshwater-Marine,FM,Freshwater-Marine,7
M1.1 Seagrass meadows,M1.1,Seagrass meadows,120,M1 Marine shelf,M1,Marine shelf,18,M Marine,M,Marine,8
M1.2 Kelp forests,M1.2,Kelp forests,121,M1 Marine shelf,M1,Marine shelf,18,M Marine,M,Marine,8
M1.3 Photic coral reefs,M1.3,Photic coral reefs,122,M1 Marine shelf,M1,Marine shelf,18,M Marine,M,Marine,8
M1.4 Shellfish beds and reefs,M1.4,Shellfish beds and reefs,123,M1 Marine shelf,M1,Marine shelf,18,M Marine,M,Marine,8
M1.5 Photo-limited marine animal forests,M1.5,Photo-limited marine animal forests,124,M1 Marine shelf,M1,Marine shelf,18,M Marine,M,Marine,8
M1.6 Subtidal rocky reefs,M1.6,Subtidal rocky reefs,125,M1 Marine shelf,M1,Marine shelf,18,M Marine,M,Marine,8
M1.7 Subtidal sand beds,M1.7,Subtidal sand beds,126,M1 Marine shelf,M1,Marine shelf,18,M Marine,M,Marine,8
M1.8 Subtidal mud plains,M1.8,Subtidal mud plains,127,M1 Marine shelf,M1,Marine shelf,18,M Marine,M,Marine,8
M1.9 Upwelling zones,M1.9,Upwelling zones,128,M1 Marine shelf,M1,Marine shelf,18,M Marine,M,Marine,8
M1.10 Rhodolith/Maërl beds,M1.10,Rhodolith/Maërl beds,129,M1 Marine shelf,M1,Marine shelf,18,M Marine,M,Marine,8
M2.1 Epipelagic ocean waters,M2.1,Epipelagic ocean waters,135,M2 Pelagic ocean waters,M2,Pelagic ocean waters,19,M Marine,M,Marine,8
M2.2 Mesopelagic ocean water,M2.2,Mesopelagic ocean water,136,M2 Pelagic ocean waters,M2,Pelagic ocean waters,19,M Marine,M,Marine,8
M2.3 Bathypelagic ocean waters,M2.3,Bathypelagic ocean waters,137,M2 Pelagic ocean waters,M2,Pelagic ocean waters,19,M Marine,M,Marine,8
M2.4 Abyssopelagic ocean waters,M2.4,Abyssopelagic ocean waters,138,M2 Pelagic ocean waters,M2,Pelagic ocean waters,19,M Marine,M,Marine,8
M2.5 Sea ice,M2.5,Sea ice,139,M2 Pelagic ocean waters,M2,Pelagic ocean waters,19,M Marine,M,Marine,8
M3.1 Continental and island slopes,M3.1,Continental and island slopes,143,M3 Deep sea floors,M3,Deep sea floors,20,M Marine,M,Marine,8
M3.2 Submarine canyons,M3.2,Submarine canyons,144,M3 Deep sea floors,M3,Deep sea floors,20,M Marine,M,Marine,8
M3.3 Abyssal plains,M3.3,Abyssal plains,145,M3 Deep sea floors,M3,Deep sea floors,20,M Marine,M,Marine,8
"M3.4 Seamounts, ridges and plateaus",M3.4,"Seamounts, ridges and plateaus",146,M3 Deep sea floors,M3,Deep sea floors,20,M Marine,M,Marine,8
M3.5 Deepwater biogenic beds,M3.5,Deepwater biogenic beds,147,M3 Deep sea floors,M3,Deep sea floors,20,M Marine,M,Marine,8
M3.6 Hadal trenches and troughs,M3.6,Hadal trenches and troughs,148,M3 Deep sea floors,M3,Deep sea floors,20,M Marine,M,Marine,8
M3.7 Chemosynthetic-based-ecosystems (CBE),M3.7,Chemosynthetic-based-ecosystems (CBE),149,M3 Deep sea floors,M3,Deep sea floors,20,M Marine,M,Marine,8
M4.1 Submerged artificial structures,M4.1,Submerged artificial structures,154,M4 Anthropogenic marine,M4,Anthropogenic marine,21,M Marine,M,Marine,8
M4.2 Marine aquafarms,M4.2,Marine aquafarms,155,M4 Anthropogenic marine,M4,Anthropogenic marine,21,M Marine,M,Marine,8
MT1.1 Rocky Shorelines,MT1.1,Rocky shorelines,157,MT1 Shorelines,MT1,Shorelines,22,MT Marine-Terrestrial,MT,Marine-Terrestrial,9
MT1.2 Muddy Shorelines,MT1.2,Muddy shorelines,158,MT1 Shorelines,MT1,Shorelines,22,MT Marine-Terrestrial,MT,Marine-Terrestrial,9
MT1.3 Sandy Shorelines,MT1.3,Sandy shorelines,159,MT1 Shorelines,MT1,Shorelines,22,MT Marine-Terrestrial,MT,Marine-Terrestrial,9
MT1.4 Boulder and cobble shores,MT1.4,Boulder and cobble shores,160,MT1 Shorelines,MT1,Shorelines,22,MT Marine-Terrestrial,MT,Marine-Terrestrial,9
MT2.1 Coastal shrublands and grasslands,MT2.1,Coastal shrublands and grasslands,163,MT2 Supralittoral coastal,MT2,Supralittoral coastal,23,MT Marine-Terrestrial,MT,Marine-Terrestrial,9
MT2.2 Large seabird and pinniped colonies,MT2.2,Large seabird and pinniped colonies,164,MT2 Supralittoral coastal,MT2,Supralittoral coastal,23,MT Marine-Terrestrial,MT,Marine-Terrestrial,9
MT3.1 Artificial shorelines,MT3.1,Artificial shorelines,166,MT3 Anthropogenic shorelines,MT3,Anthropogenic shorelines,24,MT Marine-Terrestrial,MT,Marine-Terrestrial,9
MFT1.1 Coastal river deltas,MFT1.1,Coastal river deltas,168,MFT1 Brackish tidal,MFT1,Brackish tidal,25,MFT Marine-Freshwater-Terrestrial,MFT,Marine-Freshwater-Terrestrial,10
MFT1.2 Intertidal forests and shrublands,MFT1.2,Intertidal forests and shrublands,169,MFT1 Brackish tidal,MFT1,Brackish tidal,25,MFT Marine-Freshwater-Terrestrial,MFT,Marine-Freshwater-Terrestrial,10
MFT1.3 Coastal saltmarshes and reedbeds,MFT1.3,Coastal saltmarshes and reedbeds,170,MFT1 Brackish tidal,MFT1,Brackish tidal,25,MFT Marine-Freshwater-Terrestrial,MFT,Marine-Freshwater-Terrestrial,10
